,title,date,views
0,СМИ сообщили о подготовке ЦРУ кибератак против России,02:46,543
1,Власти США запретили проносить Samsung Galaxy Note 7 в самолеты,01:31,659
2,Fitch улучшило прогноз по рейтингу России до «стабильного»,"14 октября, 23:14",2 192
3,СМИ сообщили об обысках в магазине «ЛитРес»,"14 октября, 21:00",2 504
4,СМИ сообщили о задержании бывшего мирового судьи за стрельбу в Хасавюрте,"14 октября, 19:43",1 284
5,От владельцев иностранных счетов стали требовать лично прийти в налоговую,"14 октября, 18:46",7 115
6,Министр Абызов объяснил просрочку рассмотрения петиции против законов Яровой,"14 октября, 18:46",4 569
7,Минобороны отвергло данные о гибели шестерых военных в Сирии,"14 октября, 18:29",1 863
8,Сирийские исламисты заявили об убийстве шестерых российских военных,"14 октября, 17:57",14 924
9,Ростехнадзор внепланово проверит предприятие «Лукойла» и «Башнефти»,"14 октября, 17:38",2 193
10,Reuters узнало о возможном увольнении еще 10 тысяч работников Deutsche Bank,"14 октября, 17:26",1 210
11,Французский суд смягчил российским болельщикам наказание за беспорядки на Евро-2016,"14 октября, 17:17",1 236
12,Следствие ужесточило обвинение Полонскому по делу о мошенничестве,"14 октября, 16:48",1 185
13,Goldman Sachs выиграл иск о «разорении» Ливии,"14 октября, 16:38",1 575
14,Блогер Журавлев вернулся в Россию после трех лет в плену у сирийских исламистов,"14 октября, 15:54",2 864
15,Обвиняемого в обвале Dow Jones трейдера выдадут США,"14 октября, 15:53",1 417
16,МВД опровергло закрытие дел экс-руководителей «Курортов Северного Кавказа»,"14 октября, 15:34",1 819
17,Пропажу главы банка РПЦ объяснили болезнью,"14 октября, 14:56",1 387
18,В Минфине назвали условия для разморозки пенсионных накоплений,"14 октября, 14:47",2 108
19,ЦБ за три квартала обнаружил в России 120 финансовых пирамид,"14 октября, 14:33",1 171
20,ФБК подаст в суд из-за отказа рассмотреть петицию по законам Яровой,"14 октября, 14:17",1 596
21,Носик обнаружил чужое имя в приговоре за пост в ЖЖ,"14 октября, 14:10",3 653
22,«Дождь» узнал о пропаже главы банка РПЦ  после новостей о подозрительных кредитах,"14 октября, 14:00",4 665
23,Минфин отказался от автоматического перечисления пенсий «молчунов» в бюджет,"14 октября, 13:53",2 426
24,«Роснефть» сравнила падение акций «Башнефти» с восходом солнца,"14 октября, 13:50",1 796
25,Минтранс подтвердил планы сделать пересечение границы платным,"14 октября, 13:08",4 342
26,У субподрядчиков «Российских космических систем» прошли обыски,"14 октября, 12:26",1 642
27,Генпрокуратура по поручению Путина начала проверять шахты «Уралкалия»,"14 октября, 12:19",1 526
28,В Анталье три ракеты взорвались на шоссе,"14 октября, 12:19",2 679
29,Китай задумал объединить крупнейшие химические компании страны,"14 октября, 11:31",1 004
30,Акции «Башнефти» упали на 7% в начале торгов,"14 октября, 10:35",1 714
31,Казахстан начал экспорт нефти с крупнейшего месторождения СНГ,"14 октября, 10:32",4 964
32,Путин подписал закон о бессрочном размещении авиации в Сирии,"14 октября, 09:46",2 268
33,Кадыров назвал цель нападения на дочь Емельяненко,"14 октября, 08:18",10 736
34,"Правительство оценило 10,9% акций ВТБ в 95 млрд рублей","14 октября, 07:07",1 338
35,Налог с участков с незарегистрированными строениями предложили увеличить в пять раз,"14 октября, 06:04",5 243
36,Samsung спрогнозировала убытки в $3 млрд от Galaxy Note 7,"14 октября, 05:13",1 840
37,"«Ведомости» сообщили о «дыре» в бюджете ФОМС в 0,5 трлн рублей","14 октября, 04:04",4 059
38,Минтруд отложит закон об опережающем росте пенсий сельским жителям,"14 октября, 02:49",3 055
39,СМИ узнали о проверках в Спецстрое,"14 октября, 01:59",1 914
40,В Петербурге демонтировали мемориал Маннергейма,"13 октября, 23:15",3 260
41,Семью нового калининградского губернатора связали с «Ростехом»,"13 октября, 22:55",3 727
42,ЦБ обяжет брокеров предоставлять информацию об иностранных высокочастотных трейдерах,"13 октября, 21:47",2 463
43,«Интерфакс» рассказал о новой системе проектного управления в исполнительной власти,"13 октября, 19:26",3 311
44,Reuters узнало о причастности Алишера Усманова к руководству Узбекистаном,"13 октября, 17:28",40 366
45,«Дыра» в капитале обслуживавшего «Первый канал» и ВГТРК банка превысила 47 млрд рублей,"13 октября, 17:24",3 642
46,В «Башнефти» назвали преувеличением информацию о выемке документов,"13 октября, 16:39",1 624
47,Москва обвинила Вашингтон во лжи и тактике «выжженной земли»,"13 октября, 15:54",6 228
48,Кремль посетовал на негостеприимные действия Парижа,"13 октября, 15:47",2 750
49,Россия разъяснила статус Януковича,"13 октября, 15:43",4 173
50,Генпрокуратура начала проверку законности уголовного преследования экс-главы «Билайна»,"13 октября, 15:22",1 954
51,Мединский заменит Путина на открытии православного центра в Париже,"13 октября, 15:17",2 109
52,Умер король Таиланда,"13 октября, 14:48",19 970
53,Правительство России дало неделю на доработку трехлетнего бюджета,"13 октября, 14:42",1 753
54,Сечин прокомментировал ситуацию в офисе «Башнефти»,"13 октября, 14:33",10 655
55,Представитель Емельяненко впервые прокомментировал избиение дочери,"13 октября, 14:26",11 636
56,Нобелевскую премию по литературе получил Боб Дилан,"13 октября, 14:00",11 809
57,Вьетнам исключил размещение у себя иностранных военных баз,"13 октября, 13:42",3 121
58,Кремль прокомментировал нападение на дочь Емельяненко,"13 октября, 13:35",6 292
59,СМИ узнали о выемке документов и отключении интернета в офисах «Башнефти»,"13 октября, 13:29",2 839
60,Греф предсказал наличным еще десять лет использования,"13 октября, 12:44",4 201
61,Лондон отказался считать отношения с Москвой новой холодной войной,"13 октября, 12:42",2 584
62,Олланд согласился на скорую встречу в «нормандском» формате,"13 октября, 12:23",2 385
63,Сбербанк и ФАС запустили пилотный проект на основе технологии биткоинов,"13 октября, 11:38",2 068
64,Дочь Емельяненко выписали из больницы после нападения,"13 октября, 11:12",4 340
65,Выходца из «Роснефти» назначили главой «Башнефти»,"13 октября, 10:03",1 837
66,Путин объяснил похожесть всех деклараций БРИКС,"13 октября, 10:00",2 226
67,Глава Wells Fargo уволился после обвинений в открытии фальшивых счетов,"13 октября, 08:19",1 882
68,ЦБ аккредитовал Ассоциацию форекс-дилеров,"13 октября, 07:37",1 645
69,Социологи зафиксировали снижение доверия к власти после выборов,"13 октября, 05:47",5 389
70,«Почта России» запустила собственную торговую площадку,"13 октября, 04:40",3 115
71,Финансирование государственных СМИ сократится на 20%,"13 октября, 03:48",2 657
72,Для дела Шакро Молодого ввели термин «лидер преступного сообщества России»,"13 октября, 02:58",3 211
73,"Со счетов россиян за год украли 348,6 млн рублей с помощью вирусов для Android","13 октября, 02:14",4 202
74,WSJ узнала о подготовке новых санкций против России,"13 октября, 01:48",7 102
75,В Голландии предложили распространить закон об эвтаназии на здоровых людей,"13 октября, 00:28",4 474
76,Подозреваемый в подготовке теракта в Германии покончил с собой в камере,"13 октября, 00:10",2 625
77,Минтранс предложил сделать пересечение границы платным,"12 октября, 22:12",7 591
78,США предложили российским военным охранять гуманитарный конвой под Алеппо,"12 октября, 21:55",4 014
79,По факту нападения на дочь Емельяненко возбудили уголовное дело,"12 октября, 20:45",10 695
80,Минюст попросил проверить конституционность решений ЕСПЧ по ЮКОСу,"12 октября, 19:23",2 411
81,ДНР сообщила о бое в Донбассе с 17 жертвами,"12 октября, 19:17",8 852
82,«Роснефть» купила госпакет «Башнефти»,"12 октября, 17:56",2 515
83,Дочь Емельяненко избили после скандала с Кадыровым,"12 октября, 17:24",66 890
84,Россия согласилась заморозить добычу нефти на рекордном уровне,"12 октября, 17:10",3 407
85,Арест имущества Белых отменили,"12 октября, 17:02",2 430
86,Путина удивило решение правительства продать «Башнефть» «Роснефти»,"12 октября, 16:40",5 268
87,Путин оправдал расходы «Газпрома» на инфраструктуру «работой на будущее»,"12 октября, 16:22",1 495
88,Путин назвал причину переноса своего визита в Париж,"12 октября, 16:08",2 597
89,Путин обвинил Запад в шантаже из-за Сирии,"12 октября, 15:55",2 697
90,Путин пожаловался на попытки «диктата» со стороны США,"12 октября, 15:44",2 913
