,Total_floor,Curent_floor,Price,TotalSq,pass_elevator,gruz_elevator,balkon,lodgya,sovmest_sanuz,razdeln_sanuz,Is_second,CentrDist,sell_type_214-FZ,sell_type_GSK_dogovor,sell_type_alternativa,sell_type_free,sell_type_pereustupka,sell_type_predvarit_dogovor,phone_no,phone_yes,parking_mnogour,parking_na_krishe,parking_nazemn,parking_otkritaya,parking_podzemn,age
0,7,9,123000000.0,194.7,2,2,0,0,3.0,0.0,1,2.2222010661833185,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0
1,3,21,5579537.0,54.0,1,1,1,0,0.0,1.0,0,18.82923541862729,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0
2,5,9,5200000.0,33.0,1,0,0,1,1.0,0.0,1,13.864785373205295,0,0,0,1,0,0,0,1,0,0,1,0,0,0.0
3,3,3,1440000.0,29.0,0,0,0,0,1.0,0.0,1,22.441691424672953,0,0,0,1,0,0,0,0,0,0,1,0,0,52.0
4,1,9,1540000.0,12.0,0,0,0,0,1.0,0.0,1,16.349802361359455,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
5,2,21,1590000.0,13.0,1,1,0,0,1.0,0.0,1,29.095391946912354,0,0,0,1,0,0,0,0,0,0,1,0,0,45.0
6,1,3,1730000.0,34.0,0,0,0,0,0.0,0.0,0,53.25995082158847,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0
7,1,9,1790000.0,12.0,1,0,0,0,1.0,0.0,1,16.349802361359455,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
8,1,9,1790000.0,11.4,0,0,0,0,1.0,0.0,1,21.307843822400677,0,0,0,1,0,0,0,0,0,0,1,0,0,45.0
9,1,3,1800001.0,34.2,1,1,1,0,0.0,1.0,0,53.25995082158847,0,0,0,1,0,0,0,0,0,0,0,0,0,35.0
10,1,3,1800000.0,34.8,0,0,0,0,0.0,0.0,0,53.25995082158847,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
11,1,3,1800000.0,34.0,0,0,0,0,1.0,0.0,0,53.25995082158847,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
12,2,3,1850000.0,34.2,0,0,0,0,1.0,0.0,0,53.25995082158847,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
13,1,2,1880000.0,27.0,0,0,0,0,0.0,1.0,1,24.819691720504583,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
14,1,3,1890000.0,20.0,0,0,0,0,1.0,0.0,1,21.175445134449745,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
15,1,14,1895000.0,15.0,1,1,0,0,1.0,0.0,1,18.46016345014414,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0
16,1,14,1895000.0,15.0,1,1,0,0,1.0,0.0,1,18.46016345014414,0,0,0,1,0,0,0,0,0,0,1,0,0,15.0
17,1,3,1900000.0,34.8,1,1,1,0,0.0,1.0,0,53.25995082158847,0,0,0,1,0,0,0,0,0,0,0,0,0,15.0
18,1,3,1950000.0,34.0,1,1,1,0,0.0,1.0,0,53.25995082158847,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
19,2,4,1990000.0,38.0,0,0,0,1,1.0,0.0,1,18.449493672691766,0,0,0,1,0,0,1,0,0,0,0,0,1,0.0
20,3,3,1990000.0,32.0,0,0,0,0,1.0,0.0,1,27.035442951034074,0,0,0,1,0,0,0,1,0,0,1,0,0,7.0
21,2,3,1990000.0,27.0,0,0,0,0,1.0,0.0,1,22.441691424672953,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
22,1,3,1990000.0,19.3,0,0,0,0,1.0,0.0,1,22.480575987389614,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
23,2,3,1990000.0,26.0,0,0,0,0,1.0,0.0,1,22.337932701237037,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
24,3,3,1990000.0,32.0,0,0,0,0,1.0,0.0,1,27.035442951034074,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
25,3,4,1990000.0,24.6,0,0,0,1,1.0,0.0,1,29.476103829370633,0,0,0,1,0,0,1,0,0,0,1,0,0,0.0
26,2,22,2090000.0,21.0,2,2,0,0,1.0,0.0,1,28.39791709946304,0,0,0,1,0,0,0,0,0,0,1,0,0,3.0
27,2,3,2090000.0,26.0,0,0,0,0,0.0,0.0,1,29.025480426975143,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
28,2,10,9990000.0,54.1,0,0,0,2,0.0,1.0,1,16.210015327809423,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0
29,3,22,64000000.0,170.0,0,0,1,1,2.0,1.0,1,10.964528004152282,0,0,0,1,0,0,0,0,0,0,0,0,1,10.0
30,3,4,4990000.0,40.0,1,1,0,0,1.0,0.0,1,5.686051608132907,0,0,0,1,0,0,1,0,0,0,1,0,0,5.0
31,1,12,2090000.0,17.5,1,1,0,0,0.0,0.0,1,23.623024455125016,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
32,1,10,2190000.0,15.0,1,1,0,0,1.0,0.0,1,25.825066306713538,0,0,0,1,0,0,0,0,0,0,1,0,0,15.0
33,3,14,2200000.0,42.0,1,1,0,1,1.0,0.0,1,32.15677054199778,0,0,0,1,0,0,0,0,0,0,0,0,0,19.0
34,1,17,2200000.0,17.0,1,1,0,0,1.0,0.0,1,20.099371959870354,0,0,0,1,0,0,1,0,0,0,1,0,0,0.0
35,3,4,2200000.0,31.5,0,0,1,0,1.0,0.0,0,28.809129055435207,0,0,0,0,1,0,0,0,0,0,0,0,0,21.0
36,1,2,2200000.0,42.0,0,0,0,0,1.0,0.0,1,20.15309972336506,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
37,12,18,2217106.0,20.7,1,1,1,0,1.0,0.0,0,38.332449324548946,0,0,0,1,0,0,0,0,0,0,0,0,0,2.0
38,1,24,2240000.0,22.4,2,1,0,0,1.0,0.0,0,21.648886347673717,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
39,16,18,2241470.0,22.6,1,1,1,0,1.0,0.0,0,38.332449324548946,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
