,Total_floor,Curent_floor,Price,TotalSq,LiveSq,KichSq,RoomSq,new_or_not,house_type,pass_elevator,gruz_elevator,balkon,lodgya,visokiy_potolok,sovmest_sanuz,razdeln_sanuz,exist_sanuz,do_metro_peshkom,do_metro_mashina,past_year,future_year,latitude,longitude,sell_type,phone,status_doma,repair,parking,view_window,otdelka,metro_name
0,9,7,123000000.0,194.7,121.7,22.0,121.74,вторичка,,2,2,0,0,3.5,3.0,,,4.0,,,,55.744738,37.653703,свободная,,,отсутствует,подземная,двор,,"Таганская,"
1,21,3,5579537.0,54.0,30.1,9.2,30.07,новостройка,панельный дом,1,1,1,0,,,1.0,,,10.0,2012.0,['2017'],55.633661,37.414421,свободная,,,,,улица,,"Саларьево,"
2,9,5,5200000.0,33.0,17.0,7.0,17,вторичка,,1,0,0,1,2.64,1.0,,,,16.0,,,55.87193,37.554987,свободная,да,,евроремонт,наземная,улица,,"Петровско-Разумовская,"
3,3,3,1440000.0,29.0,26.0,,26,вторичка,,0,0,0,0,,1.0,,,,25.0,1965.0,,55.648382,37.322593,свободная,,,отсутствует,наземная,,,"Киевская,"
4,9,1,1540000.0,12.0,10.0,,10,вторичка,,0,0,0,0,2.64,1.0,,,16.0,,,,55.60669,37.617986,свободная,,,отсутствует,,,,"Пражская,"
5,21,2,1590000.0,13.0,10.0,3.0,10,вторичка,монолитный,1,1,0,0,2.7,1.0,,,,,1972.0,,55.495098,37.554439,свободная,,,отсутствует,наземная,двор,,"Бунинская аллея,"
6,3,1,1730000.0,34.0,18.0,10.0,18,новостройка,кирпичный,0,0,0,0,,,,нет,,30.0,2015.0,['2017'],55.49766,36.917628,214-ФЗ,,,,,,,"Юго-Западная,"
7,9,1,1790000.0,12.0,8.0,2.5,8,вторичка,,1,0,0,0,2.64,1.0,,,16.0,,,,55.60669,37.617986,свободная,,,косметический,наземная,двор,,"Пражская,"
8,9,1,1790000.0,11.4,,,,вторичка,панельный дом,0,0,0,0,,1.0,,,8.0,,1972.0,,55.563661,37.58031,свободная,,,отсутствует,наземная,,,"Бульвар Дмитрия Донского,"
9,3,1,1800001.0,34.2,18.1,10.2,18.1,новостройка,монолитный,1,1,1,0,,,1.0,,,37.0,1982.0,['2016'],55.49766,36.917628,свободная,,,,,двор,,"Саларьево,"
10,3,1,1800000.0,34.8,18.1,10.8,18.1,новостройка,панельный дом,0,0,0,0,,,,нет,,35.0,,['2017'],55.49766,36.917628,переуступка,,,,,улица,,"Саларьево,"
11,3,1,1800000.0,34.0,6.0,10.0,18,новостройка,панельный дом,0,0,0,0,,1.0,,,,,,['2016'],55.49766,36.917628,переуступка,,,,,двор и улица,,
12,3,2,1850000.0,34.2,18.1,10.2,18.1,новостройка,панельный дом,0,0,0,0,,1.0,,,,35.0,,['2017'],55.49766,36.917628,переуступка,,,,,двор,,"Саларьево,"
